no,sentence,sentiment,source,location,Confidence,Positive Score,Negative Score,Reason / Notes,Aspect(s),Risk Type(s),Traveller Suitability,Hotel Improvement Insight
568,Shower head leaking Aircon not cold TV has some setting problems Internet wifi not stable,negative,Agoda,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",medium,0,7,"Negative indicators: not cold, leaking",Facilities,Facility/Maintenance Risk,General traveller suitability,Improve room facilities and maintenance
569,"Overall,all is ok Except the toilet floor , it is really terrible slippy Fall down and hurt my axx . That why I remember to submit my review even after a year . Thank",negative,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",medium,0.5,6.75,Negative indicators: terrible; positive point(s): ok,General,No major risk detected,General traveller suitability,No major improvement issue detected
570,"room is not like a photos and , bad smell and bedsheet . i have to stay their places for a last minute. and do not stay their if you have a child",negative,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.08,0.88,"Negative wording or complaint terms are stronger; main issue area(s): Cleanliness, Room Comfort.","Cleanliness, Room Comfort","Cleanliness Risk, Comfort Risk",May suit budget travellers only if they can accept basic conditions.,"Priority: improve housekeeping and hygiene checks; improve room comfort, noise control, and space expectations."
571,the staff was trying to scam me by ordering fake grab car when I have already gave her the money the room is so small you wouldn’t able to breath,negative,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.08,0.8,"Negative wording or complaint terms are stronger; main issue area(s): Staff / Service, Location, Room Comfort, Value / Price.","Staff / Service, Location, Room Comfort, Value / Price","Service Risk, Comfort Risk, Value / Pricing Risk, Safety / Trust Risk",Less suitable for families or guests needing larger rooms.,"Priority: improve front-desk response and service training; improve room comfort, noise control, and space expectations; review deposit, parking, and value transparency."
572,Not worth the money,negative,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",medium,0,11,"Negative indicators: not worth the money, not worth",General,Breakfast/Food Risk,General traveller suitability,"Improve breakfast menu, quality or service"
573,Please fix aircond conditioning,negative,Agoda,"Jalan Thambipillay, Kuala Lumpur Sentral, Kuala Lumpur, Malaysia, 50470",medium,0,3,Negative indicators: please fix,General,Facility/Maintenance Risk,General traveller suitability,Improve room facilities and maintenance
574,The hotel is not clean and no facilities. The room is too small. The bathroom is too bad I never been seen bathroom like this. The staff is very slow responsive. I gave two stars because of the location and the lady who was in the check in time. She was good. Otherwise everything bad in this hotel,negative,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.14,0.98,"Negative wording or complaint terms are stronger; main issue area(s): Cleanliness, Staff / Service, Location, Room Comfort.","Cleanliness, Staff / Service, Location, Room Comfort","Cleanliness Risk, Service Risk, Comfort Risk",Less suitable for families or guests needing larger rooms.,"Priority: improve housekeeping and hygiene checks; improve front-desk response and service training; improve room comfort, noise control, and space expectations."
575,"Hotel staff was friendly , other then that not highly recommended. Room was old , bed , wall, chairs all seem to be dirty and old. No toiletries. No room slippers.",negative,Agoda,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",medium,6,8,"Negative indicators: dirty, old; positive point(s): recommended, friendly",Cleanliness; Service; Comfort/Noise,Cleanliness Risk,Not ideal for cleanliness-sensitive guests,"Improve room, linen and towel cleanliness"
576,Hotel location and view are nice but the service is not good. I give three stars ⭐️⭐️⭐️,negative,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",medium,4.7,8.1,"Negative indicators: not good; positive point(s): nice, good",Location; Service,Service Risk,General traveller suitability,Improve front desk/staff service training
577,it’s dirty Only tea bag! Not even coffee was offered.,negative,Agoda,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",medium,0,4,Negative indicators: dirty,Cleanliness,Cleanliness Risk,Not ideal for cleanliness-sensitive guests,"Improve room, linen and towel cleanliness"
578,"I booked for 3d2n however I only slept 1 night, I got a room with the bedsheet with stain on in, even the blanket also with stain, toilet is very geli2, floor also very bad condition, I request for new bedsheet but there is no housekeeping available, the reception said will check but never revert, under the sink bowl there are water leaking stain which is really disgusting, very noisy because of the street jamming and in the morning there are also very noisy with I think some sort of construction, I have a really bad and unpleasent memory here, will never come back",negative,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.08,0.98,"Negative wording or complaint terms are stronger; main issue area(s): Cleanliness, Staff / Service, Facilities, Room Comfort.","Cleanliness, Staff / Service, Facilities, Room Comfort","Cleanliness Risk, Service Risk, Facility Risk, Comfort Risk",Less suitable for light sleepers or family travellers.,"Priority: improve housekeeping and hygiene checks; repair and inspect room facilities regularly; improve front-desk response and service training; improve room comfort, noise control, and space expectations."
579,Reception sering gak ada,negative,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,medium,0.08,0.72,Negative wording or complaint terms are stronger; main issue area(s): Staff / Service.,Staff / Service,Service Risk,May suit budget travellers only if they can accept basic conditions.,Priority: improve front-desk response and service training.
580,Plug point need to repair.,negative,Agoda,"Jalan Thambipillay, Kuala Lumpur Sentral, Kuala Lumpur, Malaysia, 50470",medium,0,3,Negative indicators: need to repair,General,No major risk detected,General traveller suitability,No major improvement issue detected
581,"kamar terlalu kecil, sangat berbeda jauh dengan foto. toilet kotor😞😭",negative,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,medium,0.08,0.76,"Negative wording or complaint terms are stronger; main issue area(s): Cleanliness, Room Comfort.","Cleanliness, Room Comfort","Cleanliness Risk, Comfort Risk",Less suitable for hygiene-sensitive travellers.,"Priority: improve housekeeping and hygiene checks; improve room comfort, noise control, and space expectations."
582,I have stayed here for the third time. The room cleanliness this time is not satisfied. The trash bin had no plastic bag in it; there was hair on bed when I first got in; the tables were sticky and not clean properly; the daily bathroom cleaning is not satisfied. One of the ceiling light is broken.,negative,Agoda,"Persiaran Lagoon, Bandar Sunway, Kuala Lumpur, Malaysia, 47500",medium,3,11,"Negative indicators: not clean, broken; positive point(s): clean",Cleanliness; Facilities; Comfort/Noise,Cleanliness Risk; Facility/Maintenance Risk,Not ideal for cleanliness-sensitive guests,"Improve room, linen and towel cleanliness; Improve room facilities and maintenance"
583,"Some property were private ownership, will charge high amount of deposit",negative,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",medium,0,2,Negative indicators: charge high,Service,Service Risk,General traveller suitability,Improve front desk/staff service training
584,Pro: 1) The room booking is cheap for any solo travelers Cons: 1) The facility upkeep is poor 2) Only one lift functions so long wait time 3) Hidden deposit of RM100 (cash only) mentioned only during check in. 4) Not much facilities around the location and bad traffic.,negative,Agoda,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",medium,2,6.38,"Negative indicators: poor, bad; positive point(s): cheap",Location; Service; Facilities; Accessibility,Noise Risk; Facility/Maintenance Risk; Service Risk,Not suitable for light sleepers,Improve soundproofing / noise control; Improve room facilities and maintenance; Improve front desk/staff service training
585,"STAY AWAY! It will ruin your holidays! We had an awful experience at Deface Platinum in Kuala Lumpur. When we first arrived, the check-in process took almost two hours! It was so frustrating, and when we finally got to our room, it was infested with bed bugs. We immediately informed the staff, but instead of helping us right away, they told us we’d have to wait until the next day for a room change. This is completely unacceptable, especially considering there were also ants all over the apartment. To make things worse, the hotel demanded a hefty 500 RM deposit, which they promised to return within 30 business days after the stay. That’s an incredibly long time to wait for a refund! On top of that, we were four people, yet they only gave us one key to the entire apartment. How is that even possible? The pool area was always overcrowded, and there are restricted times to access it, requiring you to have a key to get in. This place really needs to rethink their service and facilities. I would not recommend this hotel to anyone, as my experience was nothing short of a disaster.",negative,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",medium,8.1,16.2,"Negative indicators: would not recommend, not recommend, ants; positive point(s): recommend, top",Service; Facilities; Comfort/Noise,Cleanliness Risk; Service Risk,Not ideal for cleanliness-sensitive guests,"Improve room, linen and towel cleanliness; Improve front desk/staff service training"
586,"Close to city center, foods, shopping malls, but too noisy until midnight if you get road side room due to busking just across the road.",negative,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,medium,0.08,0.76,"Negative wording or complaint terms are stronger; main issue area(s): Location, Room Comfort.","Location, Room Comfort",Comfort Risk,Less suitable for light sleepers or family travellers.,"Priority: improve room comfort, noise control, and space expectations."
587,"Noisy environment even 2am still can hear people talking, can’t sleep well because of it. After that, we asked for janitor to clean our room and exchange dirty towel but when we come back from our trip, we found out the room is still dirty.",negative,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.11,0.89,"Negative wording or complaint terms are stronger; main issue area(s): Cleanliness, Room Comfort.","Cleanliness, Room Comfort","Cleanliness Risk, Comfort Risk",Less suitable for light sleepers or family travellers.,"Priority: improve housekeeping and hygiene checks; improve room comfort, noise control, and space expectations."
588,"Room floor was too dirty, too smelly as well. When asked for a room change, no room was available for change",negative,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.08,0.8,"Negative wording or complaint terms are stronger; main issue area(s): Cleanliness, Room Comfort.","Cleanliness, Room Comfort","Cleanliness Risk, Comfort Risk",Less suitable for hygiene-sensitive travellers.,"Priority: improve housekeeping and hygiene checks; improve room comfort, noise control, and space expectations."
589,"Check in time 3 o’clock,whatapp info is ready the room can pickup key card on 3clock the counter .counter staff say the room not ready, and reply just now is just now !! Bad services",negative,Agoda,"Persiaran Lagoon, Bandar Sunway, Kuala Lumpur, Malaysia, 47500",medium,0,10.5,"Negative indicators: room not ready, bad services, not ready",Service,Service Risk,General traveller suitability,Improve front desk/staff service training
590,"From the time we walked in, it was terrible. Because my middle name was missing from the initial booking they refused me our room till it was rectified. This was at 23:00, after a long flight and a 1 hour taxi ride to our accomodation. After this was rectified they demanded a MR 500 deposit for the room. I offered my card and was told cash only. They offered to walk me to the closest ATM machine. I ended up paying in AUD. Walked into our room, and enjoyed the constant clanging from the elevator all night. Cleanliness was ok, but I have experienced a lot better. Use Grab,as the Taxi's out the front charge a premium up to 300% more then Grab.",negative,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",medium,4.73,5,"Negative indicators: terrible; positive point(s): enjoyed, ok",Cleanliness; Service; Facilities; Accessibility,Cleanliness Risk; Facility/Maintenance Risk; Service Risk,Not ideal for cleanliness-sensitive guests,"Improve room, linen and towel cleanliness; Improve room facilities and maintenance; Improve front desk/staff service training"
591,Overall these hotel are good je ..cuma ada seorang di bhgian receptionist (women) yg obese tu sombong ..not friendly,negative,Agoda,"Jalan Thambipillay, Kuala Lumpur Sentral, Kuala Lumpur, Malaysia, 50470",medium,4,6,"Negative indicators: not friendly; positive point(s): friendly, good",Service,No major risk detected,General traveller suitability,No major improvement issue detected
592,Key card only provide 1 set towel are smelly even after change bedsheet make it skin itchy No Parking Provided,negative,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",medium,0,9.45,"Negative indicators: smelly, no parking",Cleanliness; Parking,Cleanliness Risk; Parking Risk,Not ideal for cleanliness-sensitive guests,"Improve room, linen and towel cleanliness; Improve parking information or parking availability"
593,"Clean, except the time we stay elevator is not working most of the time",negative,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",medium,3,5.4,Negative indicators: not working; positive point(s): clean,Cleanliness; Facilities; Accessibility,Facility/Maintenance Risk,General traveller suitability,Improve room facilities and maintenance
594,"Door is about to easy break not safety at all. Cleanliness is poor with stain on toilet bowl. Check in time sharp at 3 pm early than that not serve by the staff due to door lock. And slow process registration, but have noticed can early check in with mandatory fee. Check out also problem staf counter not available need waiting too. Need to go kingston hotel to ask the staf where.",negative,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.11,0.93,"Negative wording or complaint terms are stronger; main issue area(s): Cleanliness, Staff / Service, Facilities.","Cleanliness, Staff / Service, Facilities","Cleanliness Risk, Service Risk, Facility Risk, Safety / Trust Risk",Less suitable for hygiene-sensitive travellers.,Priority: improve housekeeping and hygiene checks; repair and inspect room facilities regularly; improve front-desk response and service training.
595,"The staff made me check in late, claiming that the hotel was fully occupied, despite the fact that I had booked well in advance and should have been able to check in on time. To make matters worse, I was still required to check out at the normal time the next day, with no compensation for the lost hours. This is unacceptable service and a very disappointing hotel experience.",negative,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.08,0.84,Negative wording or complaint terms are stronger; main issue area(s): Staff / Service.,Staff / Service,Service Risk,May suit budget travellers only if they can accept basic conditions.,Priority: improve front-desk response and service training.
596,"No dedicated check in counter, complicated check in process, wasted more than 30mins, then another 30mins to reparking our transport in order not to get charged for overnight parking but still we need to pay rm15 to get out from the parking because we spent more than 30mins in the building which was caused by the complicated check in process. Need to transfer another rm300 to the management account for deposit purpose. Booked a two bedrooms suite, but one of the room was locked, spend some time to open the room door too. Shower Water not hot at all, aircons for both room not working. Deposit was not refund to account immediately once u checks out. 👎🏻",negative,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",medium,0,5.4,Negative indicators: not working,Location; Service; Facilities; Parking,Parking Risk; Facility/Maintenance Risk; Service Risk,General traveller suitability,Improve parking information or parking availability; Improve room facilities and maintenance; Improve front desk/staff service training
597,"Tiny rooms, dont go with the pictures.",negative,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,medium,0.08,0.72,Negative wording or complaint terms are stronger; main issue area(s): Room Comfort.,Room Comfort,Comfort Risk,Less suitable for families or guests needing larger rooms.,"Priority: improve room comfort, noise control, and space expectations."
598,"This particulr unit we stayed in the flushing sysyem is not ok,very bad stinking sewerage odour so bad my husband had headache In general this property ,need to work on their hygiebe level espeially the toilets all must have double sewerage cover and their trash areas really stink ,toilets flush8ng system need to be looked into. We had stayed in differen units in this property,hjis is the conclusion for this property in general.",negative,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",medium,0.5,10,"Negative indicators: very bad, bad; positive point(s): ok",General,No major risk detected,General traveller suitability,No major improvement issue detected
599,"This is a very worst hotel, Aircon not worked in any room allotted to me. Please remove this hotel from Agoda",negative,Agoda,"Jalan Thambipillay, Kuala Lumpur Sentral, Kuala Lumpur, Malaysia, 50470",medium,0,5,Negative indicators: worst,Facilities,Facility/Maintenance Risk,General traveller suitability,Improve room facilities and maintenance
600,Toilet dirty,negative,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.08,0.84,Negative wording or complaint terms are stronger; main issue area(s): Cleanliness.,Cleanliness,Cleanliness Risk,Less suitable for hygiene-sensitive travellers.,Priority: improve housekeeping and hygiene checks.
601,"The hotel location and overall stay were acceptable, but there are several areas that need improvement. The toilet cleanliness was below expectation and should be maintained more thoroughly. The mattress was too hard and uncomfortable — adding a mattress topper would greatly improve sleep quality. The bedsheet texture was also quite rough, and unfortunately there were “X” markings and blood stain on the sheet, which was very unpleasant and unacceptable for hotel hygiene standards.",negative,Agoda,"Persiaran Lagoon, Bandar Sunway, Kuala Lumpur, Malaysia, 47500",medium,0.5,10.8,"Negative indicators: need improvement, unpleasant, stain; positive point(s): acceptable",Location; Cleanliness; Comfort/Noise,Cleanliness Risk,Not ideal for cleanliness-sensitive guests,"Improve room, linen and towel cleanliness"
602,It was tribble stay Same price you can find better places Cleanness: ZERO Parking: in Agoda I searched free parking then hotel staff told me they don’t have parking TV: not working Receptionist: no instruction how check in and you must contact them then tell you where to check in,negative,Agoda,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",medium,0,4,Negative indicators: not working,Service; Facilities; Parking,Parking Risk; Facility/Maintenance Risk; Service Risk,General traveller suitability,Improve parking information or parking availability; Improve room facilities and maintenance; Improve front desk/staff service training
603,Macam hotel berhantu,negative,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,medium,0.08,0.72,Negative wording or complaint terms are stronger; main issue area(s): General Experience.,General Experience,Low Risk,May suit budget travellers only if they can accept basic conditions.,Priority: review the complaint and improve guest experience.
604,"This place is definitely haunted. Heard crying noise, footsteps and loud banging on the door that went on for hours. If you ever end up here by any chance, DO NOT OPEN THE DOOR AT NIGHT!!!",negative,Agoda,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",medium,0,2,Negative indicators: noise,Comfort/Noise,Noise Risk,Not suitable for light sleepers,Improve soundproofing / noise control
605,I been fine because of the towel dirty! Feel they are cheating money! Bad services!!! Will not visit again ANYMORE!!!,negative,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",medium,1,10.5,"Negative indicators: bad services, dirty, bad; positive point(s): fine",Cleanliness,Cleanliness Risk,Not ideal for cleanliness-sensitive guests,"Improve room, linen and towel cleanliness"
606,"Location is great, easy access to nearby attractions. No klcc view from room. Not valuable for money, hence we can get many others service apartments with klcc view from the room. Bathroom is big and decent. Housekeeping failed, dirty kitchen, smelly sofa.",negative,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",medium,4.5,8,"Negative indicators: smelly, dirty; positive point(s): easy access, decent",Location; Cleanliness; Service,Cleanliness Risk; Service Risk,Suitable for convenience-focused travellers; Not ideal for cleanliness-sensitive guests,"Improve room, linen and towel cleanliness; Improve front desk/staff service training"
607,"I had to wait 30-40 mins to check in because the staff wasn’t there, i tried to call the number given but no answered. The reason staff was not there because she’s going out to buy food ?? The room was very dirty, there was mold on the wall and also got dirty stain on the pillow..",negative,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.08,0.88,"Negative wording or complaint terms are stronger; main issue area(s): Cleanliness, Staff / Service, Room Comfort.","Cleanliness, Staff / Service, Room Comfort","Cleanliness Risk, Service Risk, Comfort Risk",Less suitable for hygiene-sensitive travellers.,"Priority: improve housekeeping and hygiene checks; improve front-desk response and service training; improve room comfort, noise control, and space expectations."
608,All the check in process going very smoothly until during our stay. We got 2 room unfortunately set at low very hot during sleep. Cannot get enough rest because too hot discrupt our sleep. Not worth it,negative,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",medium,0,7,Negative indicators: not worth,Service,Service Risk,General traveller suitability,Improve front desk/staff service training
609,"The moment I opened the door, two cockroaches are welcoming me. OMG!",negative,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.08,0.92,"Negative wording or complaint terms are stronger; main issue area(s): Cleanliness, Facilities.","Cleanliness, Facilities","Cleanliness Risk, Facility Risk",Less suitable for hygiene-sensitive travellers.,Priority: improve housekeeping and hygiene checks; repair and inspect room facilities regularly.
610,"I RARELY leave reviews, but I felt i had to mention that the woman staff at the counter behavior was unexpectedly rude with no manners! I tried to ask nicely, yet her tone attitude response was unpleasant and unprofessional. Not only with me but i saw infront of my face with other customer also. Definitely needs better training!",negative,Agoda,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",medium,0,12.15,"Negative indicators: needs better, unpleasant, rude",Service,Service Risk,General traveller suitability,Improve front desk/staff service training
611,Di agoda tampak kamarnya ok dan luas. Pas dateng bener2 sempit. Bau tak sedap. Sumpek bgt. Tdk ada jendela. Very bad. Staff tidak ramah. Saya sampe tidak jadi tidur di hotel ini dan sayang nya mereka tidak memberi kebijakan sama sekali atas pembatalan ini. Budget sya 1.7juta hilang begitu saja.,negative,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,medium,0.11,0.77,"Negative wording or complaint terms are stronger; main issue area(s): Staff / Service, Room Comfort, Value / Price.","Staff / Service, Room Comfort, Value / Price","Service Risk, Comfort Risk, Value / Pricing Risk",Less suitable for families or guests needing larger rooms.,"Priority: improve front-desk response and service training; improve room comfort, noise control, and space expectations; review deposit, parking, and value transparency."
612,"Booked 3 studio room only to be told that they are FULLY BOOKED when we reached there. They then told us they will UPGRADE us to Deluxe room at the Sunway Resort Hotel instead. Although it is an UPGRADE in terms of value, it is inconvenient for family with kids because I expected a fully equipped kitchen & full-sized fridge that the studio has for my baby's meal and my breastmilk. No apologies was offered and honestly the receptionist was pretty rude. They could at least inform us earlier of the changes instead of over-booking their rooms and told us when we are there.",negative,Agoda,"Persiaran Lagoon, Bandar Sunway, Kuala Lumpur, Malaysia, 47500",medium,0,5.4,Negative indicators: rude,Location; Service,Service Risk,Suitable for convenience-focused travellers,Improve front desk/staff service training
613,"HOTELS ALLOCATE WORSET ROOM FIRST, IF KEEP SILENT U HAVE ADJUST AND STAY. WORSE SMELL,WATER LEAK IN AC,NOT CLEAN AT ALL,DIRT IN THE PILLOWS,BROKEN BED FRAME.ALL SHOUDL REPORT COMPLAIN STILL SAY NO OTHER ROOMS THEN WE NEED TO ESCALATE CASES TO MANGER TO CHNAGE ROOM. WE BOOK TWO ROOMS BOTH HAPPEN SAME, AFTER CHANGE ROOM ITS FINE. DONT BOOK EXPRESS ROOM HOTEL WILL CHAET U ALL AS THIS IS U BOOK. BETTER BOOK UPGRADED ROOMS FOR BETTER EXPERIENCE.",negative,Agoda,"Jalan Thambipillay, Kuala Lumpur Sentral, Kuala Lumpur, Malaysia, 50470",medium,4,11,"Negative indicators: not clean, broken; positive point(s): clean, fine",Cleanliness; Facilities; Comfort/Noise,Cleanliness Risk; Facility/Maintenance Risk,Not ideal for cleanliness-sensitive guests,"Improve room, linen and towel cleanliness; Improve room facilities and maintenance"
614,The room we get was at level12 It’s old and mouldy. It’s totally different from the picture we saw. Very disappointing. Somehow the room is very old and not clean. A lot dust in the air.,negative,Agoda,"Persiaran Lagoon, Bandar Sunway, Kuala Lumpur, Malaysia, 47500",medium,3,11,"Negative indicators: not clean, old; positive point(s): clean",Cleanliness,No major risk detected,General traveller suitability,No major improvement issue detected
615,Not recommended for female who plan to stay alone. Corridors are dark feel so unsafe. Others still acceptable. Pay what you get,negative,Agoda,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",medium,4.5,7,"Negative indicators: not recommended; positive point(s): recommended, acceptable",General,No major risk detected,General traveller suitability,No major improvement issue detected
616,Nice room but bad sewerage system. Bad smell coming from the toilet & kitchen sink. Other than that its a great place to stay,negative,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",medium,2,12.15,"Negative indicators: bad smell, bad; positive point(s): nice",Cleanliness,Cleanliness Risk,Not ideal for cleanliness-sensitive guests,"Improve room, linen and towel cleanliness"
617,"Toilet never Clean , Heater is not working.. Room is smelly . Toilet pipe is not good condition. its damaged...",negative,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.14,0.82,"Negative wording or complaint terms are stronger; main issue area(s): Cleanliness, Facilities, Room Comfort.","Cleanliness, Facilities, Room Comfort","Cleanliness Risk, Facility Risk, Comfort Risk",Less suitable for hygiene-sensitive travellers.,"Priority: improve housekeeping and hygiene checks; repair and inspect room facilities regularly; improve room comfort, noise control, and space expectations."
618,"A bit disappointed because I booked a room with a different picture, I got a room that wasn't the same as the one in the picture.",negative,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",medium,0,4,Negative indicators: disappointed,General,No major risk detected,General traveller suitability,No major improvement issue detected
619,Haritu tak boleh tido sbb paip air pecah from floor mana tak tahu. Bising bunyi air smpai tingkat 3. Haha,negative,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,medium,0.08,0.72,Negative wording or complaint terms are stronger; main issue area(s): General Experience.,General Experience,Low Risk,May suit budget travellers only if they can accept basic conditions.,Priority: review the complaint and improve guest experience.
620,The toilet is moldy and cleaning horrible,negative,Agoda,"Persiaran Lagoon, Bandar Sunway, Kuala Lumpur, Malaysia, 47500",medium,0,5,Negative indicators: horrible,General,No major risk detected,General traveller suitability,No major improvement issue detected
621,ROOM NOT CLEAN. WATER HEATER FAULTY. DOOR LATCH BROKEN INTO TWO. UNSAFE TO STAY YET DID NOT REPAIR AND REPLACE. MESSAGE AND EMAIL EVEN CALL UP THE HOTEL FOR MANY DAYS NOBODY REPLIED OR ANSWER THE CALLS! VERY RUDE INDIAN WOMAN MANDING THE COUNTER BOTH THE COUNTER CONCIERGE STAFF IS NOT WEARING ANY NAME TAG AT ALL UNABLE TO IDENTIFY THEIR,negative,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.11,0.89,"Negative wording or complaint terms are stronger; main issue area(s): Cleanliness, Staff / Service, Facilities, Room Comfort.","Cleanliness, Staff / Service, Facilities, Room Comfort","Cleanliness Risk, Service Risk, Facility Risk, Comfort Risk, Safety / Trust Risk",May suit budget travellers only if they can accept basic conditions.,"Priority: improve housekeeping and hygiene checks; repair and inspect room facilities regularly; improve front-desk response and service training; improve room comfort, noise control, and space expectations."
622,Requested for room change. They changed it and still no air cond. It's was hot. Couldn't sleep for 2 days.,negative,Agoda,"Jalan Thambipillay, Kuala Lumpur Sentral, Kuala Lumpur, Malaysia, 50470",medium,0,4,Negative indicators: couldn't sleep,General,Noise Risk,Not suitable for light sleepers,Improve soundproofing / noise control
623,Not worth to stay better with that amount of payment could jolly book Ksl hotel,negative,Agoda,"Persiaran Lagoon, Bandar Sunway, Kuala Lumpur, Malaysia, 47500",medium,0,7,Negative indicators: not worth,General,No major risk detected,General traveller suitability,No major improvement issue detected
624,"Too much hidden policy when checkin. Management is worst. Request safety deposit during checkin bigger than perday price. The signage is printed in A3 paper, stick here and there for direction and block, what kind of luxury is that.",negative,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",medium,0,5,Negative indicators: worst,Service,Service Risk,General traveller suitability,Improve front desk/staff service training
